order_id,customer_id,order_date,order_value,delivery_days,order_hour,is_weekend,account_age_days_at_order,hist_orders_before,hist_return_rate_before,hist_abusive_return_rate_before,hist_chargebacks_before,price_vs_category_avg,days_to_return,category_accessories,category_apparel,category_beauty,category_electronics,category_footwear,category_home,category_mobile,payment_method_COD,payment_method_UPI,payment_method_card,payment_method_wallet,return_reason_changed_mind,return_reason_damaged,return_reason_no_longer_needed,return_reason_not_as_described,return_reason_size_issue,return_reason_wrong_item,is_abusive_return
ORD88b61f4fa9,CUST104555,2025-01-01,23073.51,7,18,0,757,0,0.0,0.0,0,1.648,25.0,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,0
ORDf604ed1950,CUST105143,2025-01-01,999.56,5,12,0,1050,0,0.0,0.0,0,0.714,21.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1
ORD3786bc631e,CUST103340,2025-01-01,1518.69,2,18,0,435,0,0.0,0.0,0,0.69,4.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,0
ORDc2893c6a3d,CUST104428,2025-01-01,611.62,2,2,0,0,0,0.0,0.0,0,0.437,6.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0
ORDb25497c350,CUST100698,2025-01-01,1127.5,2,21,0,745,0,0.0,0.0,0,1.253,14.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0
ORDc849321644,CUST104254,2025-01-01,1497.56,6,20,0,803,0,0.0,0.0,0,1.664,26.0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0
ORD21eea8a123,CUST105673,2025-01-01,1967.39,2,18,0,608,0,0.0,0.0,0,0.894,16.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0
ORD3bf05f3fb4,CUST104952,2025-01-01,2257.24,7,5,0,405,0,0.0,0.0,0,1.026,6.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1
ORD0cb0d35130,CUST102528,2025-01-01,1521.58,2,18,0,771,0,0.0,0.0,0,0.692,15.0,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,0
ORD85470f9af5,CUST101307,2025-01-02,1101.05,4,23,0,426,0,0.0,0.0,0,0.5,1.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,0
ORD64bc45a324,CUST100046,2025-01-02,763.48,5,7,0,603,0,0.0,0.0,0,0.848,22.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0
ORD410a92beef,CUST100195,2025-01-02,2819.74,3,13,0,444,0,0.0,0.0,0,1.567,7.0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,1
ORDdd8b848eef,CUST104858,2025-01-02,3002.15,5,7,0,506,0,0.0,0.0,0,2.144,13.0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0
ORD6a7d6e4801,CUST104875,2025-01-02,2118.72,4,22,0,834,0,0.0,0.0,0,1.177,12.0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,0
ORD5084646c10,CUST103107,2025-01-02,6286.88,7,23,0,0,0,0.0,0.0,0,0.967,17.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0
ORDff0b8bbd34,CUST101727,2025-01-02,3324.77,5,2,0,126,0,0.0,0.0,0,3.694,16.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0
ORD535d501d29,CUST105230,2025-01-02,49373.23,1,11,0,1069,0,0.0,0.0,0,3.527,27.0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,0
ORDed81a4f8d3,CUST105105,2025-01-02,760.55,4,4,0,835,0,0.0,0.0,0,0.543,12.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0
ORDe96c37344d,CUST100641,2025-01-02,1184.99,7,4,0,0,0,0.0,0.0,0,1.693,4.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0
ORDe08acb7917,CUST104811,2025-01-02,2006.52,1,17,0,874,0,0.0,0.0,0,1.115,6.0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,0
ORD30cc54afd6,CUST103019,2025-01-02,1102.5,6,7,0,513,0,0.0,0.0,0,0.787,10.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0
ORD82b9ab9f77,CUST105987,2025-01-02,2293.94,7,1,0,187,0,0.0,0.0,0,1.043,19.0,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,0
ORD50f5cf1767,CUST105656,2025-01-02,1835.2,6,16,0,394,0,0.0,0.0,0,0.834,6.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,1
ORDb322794e85,CUST100251,2025-01-02,465.87,7,14,0,116,0,0.0,0.0,0,0.666,17.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
ORD370e907b9e,CUST100925,2025-01-02,2183.24,1,1,0,710,0,0.0,0.0,0,1.213,20.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,0
ORD05c9521cf0,CUST104000,2025-01-02,5381.14,5,8,0,1130,0,0.0,0.0,0,2.99,20.0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,0
ORDc0aa86d9c0,CUST104316,2025-01-02,5113.22,6,21,0,775,0,0.0,0.0,0,2.324,20.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,1
ORD763ea01ee7,CUST104913,2025-01-02,922.54,3,23,0,1064,0,0.0,0.0,0,1.318,28.0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1
ORD3b1ab760c9,CUST104582,2025-01-02,667.67,4,7,0,1055,0,0.0,0.0,0,0.742,28.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,1
ORDd3fcd8e231,CUST102725,2025-01-02,17522.88,3,7,0,982,0,0.0,0.0,0,1.252,9.0,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,0
ORDa1bde1fe58,CUST102641,2025-01-02,1198.46,2,13,0,0,0,0.0,0.0,0,1.332,21.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0
ORD285fd4698e,CUST105500,2025-01-02,1479.11,6,4,0,417,0,0.0,0.0,0,0.672,14.0,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,0
ORD8310649c9b,CUST105926,2025-01-02,279.9,5,4,0,361,0,0.0,0.0,0,0.4,13.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0
ORD84e6c72e96,CUST103949,2025-01-02,577.18,1,14,0,806,0,0.0,0.0,0,0.641,23.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
ORD9ace5c4244,CUST100187,2025-01-02,5585.87,3,11,0,548,0,0.0,0.0,0,0.859,2.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
ORD6ebb913f4e,CUST104147,2025-01-02,824.34,5,14,0,312,0,0.0,0.0,0,0.589,6.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0
ORD97af4f9743,CUST103066,2025-01-02,10975.55,7,10,0,679,0,0.0,0.0,0,0.784,7.0,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,0
ORD5b555e0612,CUST101594,2025-01-03,2159.59,7,18,0,1101,0,0.0,0.0,0,1.2,14.0,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,0
ORD9febe9f6aa,CUST105591,2025-01-03,992.71,4,6,0,527,0,0.0,0.0,0,0.709,27.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0
ORDef7893a900,CUST100800,2025-01-03,7198.46,3,3,0,953,0,0.0,0.0,0,1.107,20.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0
ORDd1d285ce8e,CUST104345,2025-01-03,820.72,6,10,0,527,0,0.0,0.0,0,0.912,1.0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1
ORDec025bbca1,CUST105503,2025-01-03,6368.56,1,8,0,260,0,0.0,0.0,0,0.98,7.0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,0
ORD86a45177af,CUST100748,2025-01-03,1266.07,3,17,0,902,0,0.0,0.0,0,0.904,29.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0
ORD6e8209df9f,CUST100518,2025-01-03,14294.17,4,13,0,708,0,0.0,0.0,0,1.021,14.0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,0
ORD43b526eef8,CUST103761,2025-01-03,2372.73,1,1,0,50,0,0.0,0.0,0,1.695,14.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0
ORDdaa4c4de9d,CUST100741,2025-01-03,4161.5,2,11,0,959,0,0.0,0.0,0,1.892,25.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0
ORDbe6b87c75c,CUST102024,2025-01-03,364.4,1,20,0,524,0,0.0,0.0,0,0.405,9.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0
ORD8319142685,CUST103111,2025-01-03,2068.1,3,20,0,1016,0,0.0,0.0,0,0.94,6.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,0
ORD664150d2f5,CUST101707,2025-01-03,9649.37,2,7,0,251,0,0.0,0.0,0,0.689,16.0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,0
ORD4ad6e6f62b,CUST100736,2025-01-03,1918.67,4,1,0,215,0,0.0,0.0,0,1.066,12.0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,0
ORDa30e951d72,CUST105724,2025-01-03,3064.42,1,17,0,1088,0,0.0,0.0,0,2.189,9.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0
ORDf08fbf5240,CUST104105,2025-01-03,2221.17,6,22,0,1000,0,0.0,0.0,0,1.01,13.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,0
ORD5eee779de3,CUST102974,2025-01-03,26111.23,3,20,0,904,0,0.0,0.0,0,1.865,1.0,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,0
ORDc928e8e272,CUST104109,2025-01-03,1579.76,7,2,0,1041,0,0.0,0.0,0,1.128,8.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0
ORD4adff31abe,CUST101931,2025-01-03,954.75,4,12,0,486,0,0.0,0.0,0,1.061,5.0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0
ORD0d9b0d55be,CUST105821,2025-01-03,1394.19,7,21,0,192,0,0.0,0.0,0,0.996,14.0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0
ORDe81502fca6,CUST100041,2025-01-03,2408.4,5,2,0,1105,0,0.0,0.0,0,1.72,11.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0
ORD80619210d7,CUST100904,2025-01-03,1183.22,2,5,0,1022,0,0.0,0.0,0,0.845,12.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1
ORDf2d78d307b,CUST103201,2025-01-03,438.99,7,16,0,1134,0,0.0,0.0,0,0.488,20.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0
ORD28b4ac2f5a,CUST101654,2025-01-03,1852.12,3,7,0,607,0,0.0,0.0,0,2.058,2.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
ORD4acce4d8e9,CUST103481,2025-01-03,562.35,2,9,0,400,0,0.0,0.0,0,0.625,19.0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0
ORDc936d4b10f,CUST104732,2025-01-03,1462.6,6,20,0,936,0,0.0,0.0,0,1.045,13.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
ORDd714285edf,CUST100698,2025-01-03,1539.99,4,18,0,747,1,1.0,0.0,0,1.1,14.0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0
ORDea4fb36938,CUST105086,2025-01-03,1827.21,7,9,0,1093,0,0.0,0.0,0,1.305,1.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0
ORDad37d41738,CUST100645,2025-01-03,1376.38,6,11,0,935,0,0.0,0.0,0,1.529,14.0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0
ORD3dbb81df2d,CUST100895,2025-01-03,3933.86,1,10,0,342,0,0.0,0.0,0,1.788,6.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,1
ORDed6c99a669,CUST102816,2025-01-03,640.42,6,12,0,996,1,0.0,0.0,0,0.457,8.0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0
ORD673f3c2a70,CUST102103,2025-01-03,13051.05,1,1,0,0,0,0.0,0.0,0,2.008,23.0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,1
ORD1037d1712b,CUST100569,2025-01-03,578.54,2,13,0,895,0,0.0,0.0,0,0.643,17.0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0
ORDfed600c486,CUST105304,2025-01-03,1121.3,2,17,0,935,0,0.0,0.0,0,0.51,17.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,0
ORDe033c7a8ba,CUST102230,2025-01-03,1028.61,1,13,0,533,1,0.0,0.0,0,0.735,25.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0
ORD1a9fd0ad65,CUST104578,2025-01-03,30351.14,1,3,0,740,0,0.0,0.0,0,2.168,7.0,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,0
ORD4e040443aa,CUST104556,2025-01-03,1584.59,5,23,0,796,0,0.0,0.0,0,0.72,2.0,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,0
ORD210d7fdccc,CUST102100,2025-01-03,1590.21,5,21,0,1106,0,0.0,0.0,0,1.767,19.0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0
ORD0d3b39afb6,CUST105055,2025-01-04,16131.76,6,16,1,681,0,0.0,0.0,0,1.152,17.0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,0
ORDb8a7164338,CUST104501,2025-01-04,1002.75,3,14,1,233,0,0.0,0.0,0,0.557,9.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,0
ORD30867694d1,CUST100985,2025-01-04,1862.39,7,8,1,912,0,0.0,0.0,0,0.847,7.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,1
ORD849534926b,CUST104758,2025-01-04,1551.14,2,22,1,223,0,0.0,0.0,0,1.108,13.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
ORDcdda7f92cd,CUST103859,2025-01-04,10997.05,7,17,1,678,0,0.0,0.0,0,1.692,5.0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,0
ORD0e72448e0b,CUST103347,2025-01-04,2653.53,7,3,1,243,1,0.0,0.0,0,1.474,6.0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,0
ORDca51b9be4c,CUST100639,2025-01-04,1135.18,5,8,1,540,0,0.0,0.0,0,0.811,17.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
ORDb6232edf62,CUST105369,2025-01-04,1609.9,5,3,1,11,1,0.0,0.0,0,0.732,28.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,0
ORDfbe974ffb2,CUST102378,2025-01-04,1326.89,1,9,1,485,0,0.0,0.0,0,0.948,29.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
ORDc327c37158,CUST105330,2025-01-04,1062.83,7,18,1,376,0,0.0,0.0,0,1.518,19.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0
ORD237f6669c6,CUST102868,2025-01-04,1127.94,6,17,1,958,0,0.0,0.0,0,0.627,1.0,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,0
ORD92ec34e1fb,CUST100333,2025-01-04,1624.46,2,4,1,543,0,0.0,0.0,0,1.805,8.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0
ORDba01f5c002,CUST103949,2025-01-04,1147.18,3,15,1,808,1,1.0,0.0,0,1.639,14.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0
ORD242c9535fc,CUST102430,2025-01-04,4196.14,7,16,1,941,0,0.0,0.0,0,0.646,3.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,0
ORD7c067cabdb,CUST102771,2025-01-04,1553.38,6,6,1,823,0,0.0,0.0,0,0.706,5.0,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0
ORD47cbd2902b,CUST103508,2025-01-04,28772.21,4,17,1,1021,0,0.0,0.0,0,2.055,24.0,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,0
ORD3dbaf9e9c1,CUST105424,2025-01-04,3223.69,2,13,1,222,0,0.0,0.0,0,1.465,27.0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,1
ORD52becf108a,CUST104899,2025-01-04,11718.22,1,5,1,827,0,0.0,0.0,0,6.51,5.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,0
ORD08dba414d3,CUST104272,2025-01-04,578.54,3,3,1,95,0,0.0,0.0,0,0.413,20.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0
ORD1f9876e50c,CUST101654,2025-01-04,5251.56,6,14,1,608,1,1.0,1.0,0,0.808,2.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,1
ORDda1a562989,CUST104664,2025-01-04,25639.28,7,23,1,1077,0,0.0,0.0,0,3.945,22.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0
ORD70c38d3b1a,CUST102246,2025-01-04,2179.42,5,7,1,504,0,0.0,0.0,0,0.991,15.0,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,0
ORD9516d36f4e,CUST100150,2025-01-04,810.1,5,2,1,0,0,0.0,0.0,0,0.579,4.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0
ORDd61702cff1,CUST103912,2025-01-04,22160.0,7,11,1,205,0,0.0,0.0,0,1.583,18.0,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,0
ORD3c5ac00ce9,CUST105234,2025-01-04,7834.95,3,7,1,216,0,0.0,0.0,0,0.56,28.0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,0
ORD23e0796b97,CUST102081,2025-01-04,1413.09,1,1,1,629,0,0.0,0.0,0,0.642,18.0,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,0
ORD5c0b6525dd,CUST103337,2025-01-04,1539.96,2,22,1,588,0,0.0,0.0,0,0.856,16.0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,1
ORD358c4f780b,CUST100199,2025-01-05,992.72,6,16,1,0,1,0.0,0.0,0,0.552,5.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,0
ORD15b24ddb67,CUST102789,2025-01-05,399.16,6,12,1,922,0,0.0,0.0,0,0.444,20.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
ORD270aa14e28,CUST104381,2025-01-05,2481.23,3,7,1,643,0,0.0,0.0,0,1.772,28.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0
ORDefcab174e3,CUST104268,2025-01-05,781.18,6,19,1,851,0,0.0,0.0,0,0.558,25.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0
ORD6689e6d9b8,CUST102041,2025-01-05,9146.39,4,2,1,1119,0,0.0,0.0,0,1.407,28.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,0
ORDdea9358689,CUST103483,2025-01-05,1220.56,4,23,1,328,0,0.0,0.0,0,0.872,1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0
ORD9fdc0f8b55,CUST100992,2025-01-05,17060.8,6,6,1,625,0,0.0,0.0,0,2.625,13.0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,0
ORDab1992ab80,CUST105454,2025-01-05,2301.56,7,12,1,653,0,0.0,0.0,0,1.046,3.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,1
ORDc97114bce9,CUST102125,2025-01-05,515.14,3,12,1,52,0,0.0,0.0,0,0.368,26.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
ORD333c5111e0,CUST103995,2025-01-05,1363.92,1,3,1,360,0,0.0,0.0,0,1.515,21.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0
ORD85416abf29,CUST104903,2025-01-05,1348.47,5,2,1,0,0,0.0,0.0,0,0.963,22.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0
ORD5579f2a289,CUST105101,2025-01-05,546.7,2,1,1,553,0,0.0,0.0,0,0.781,3.0,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0
ORDff02cd1bce,CUST100869,2025-01-05,1091.34,6,8,1,539,0,0.0,0.0,0,0.78,21.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0
ORD6bbdb844ac,CUST103415,2025-01-05,553.11,4,22,1,336,0,0.0,0.0,0,0.395,4.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0
ORD2be8f17f4c,CUST104111,2025-01-05,1844.9,5,0,1,524,0,0.0,0.0,0,1.025,16.0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,0
ORD962de6d291,CUST100419,2025-01-05,1361.66,3,3,1,908,0,0.0,0.0,0,0.619,29.0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,0
ORD3556bb0519,CUST102572,2025-01-05,507.26,5,5,1,164,0,0.0,0.0,0,0.564,30.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0
ORD28f46508cf,CUST103694,2025-01-05,3145.1,2,9,1,1018,0,0.0,0.0,0,2.246,12.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0
ORD69a6e918be,CUST105013,2025-01-05,3651.31,5,16,1,495,0,0.0,0.0,0,1.66,28.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,0
ORD1ccf0a4747,CUST105053,2025-01-05,3069.93,1,22,1,871,0,0.0,0.0,0,1.395,1.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,0
ORD22bb09aefc,CUST101251,2025-01-05,2795.27,5,22,1,1004,0,0.0,0.0,0,1.553,7.0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,0
ORDd800e3130d,CUST104214,2025-01-05,1099.83,5,2,1,1067,2,0.0,0.0,0,0.786,6.0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0
ORD42e5dfd9da,CUST103286,2025-01-05,17708.22,6,2,1,553,0,0.0,0.0,0,1.265,23.0,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,0
ORD3f6b43207c,CUST100746,2025-01-05,1363.33,1,2,1,125,0,0.0,0.0,0,0.974,24.0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0
ORDe83fc30426,CUST104292,2025-01-05,1455.12,1,7,1,1023,0,0.0,0.0,0,1.039,29.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0
ORDa840994c50,CUST103784,2025-01-05,713.93,2,6,1,277,0,0.0,0.0,0,0.51,12.0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0
ORD505fea17c8,CUST102866,2025-01-05,1471.89,7,10,1,598,0,0.0,0.0,0,2.103,16.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0
ORDd6e2ae93e6,CUST105697,2025-01-05,1176.4,5,8,1,835,0,0.0,0.0,0,1.681,6.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1
